@relation plural
@attribute frequency NUMERIC
@attribute p1 {+, +l, +r, -, =, =l, =v, J, N, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, b, bl, br, d, dl, dm, dn, dr, f, fl, fr, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, n, p, pj, pl, pn, pr, ps, pt, r, s, s=, sf, sk, skl, skr, sl, sm, sp, st, stj, str, sv, t, tl, tn, tr, v, vj, x, z}
@attribute p2 {#, &, ), -, /, 0, 1, 2, 6, @, B, E, I, O, U, W, X, Y, a, e, i, o, q, u, y, |, ~}
@attribute p3 {+, -, =, =t, J, N, Nk, Nkt, Ns, Nst, Nt, S, d, f, f=, fs, ft, k, ks, kst, kt, l, l=, lS, lf, lfs, lk, lks, lm, lp, lps, lpst, ls, lst, lt, lx, m, m+, m=, mf, mp, ms, mt, n, n=, nJ, nS, nd, nf, nf=, nft, ns, nst, nt, ntl, nx, p, ps, pst, pt, r, r=, rS, rf, rk, rkt, rl, rm, rn, rnst, rp, rpst, rs, rst, rt, rx, s, sp, st, t, x, x=, xs, xst, xt}
@attribute p4 {+, +l, +r, -, =, =l, =v, J, N, Nl, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, _m, b, bl, br, d, dl, dn, dr, f, fj, fl, fr, ft, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, ml, n, p, pl, pn, pr, ps, r, s, s=, sf, sk, skr, skv, sl, sn, sp, sr, st, str, sv, t, tl, tn, tr, tv, v, vj, vr, x, xl, z, zn} 
@attribute p5 {#, $, &, ), /, 0, 4, @, B, E, I, O, U, W, X, Y, ^, a, e, i, o, q, u, y, (, |, ~}
@attribute p6 {+, -, =, J, N, Nk, Nks, Nkt, Nst, S, Z, _, b, f, ft, k, ks, kst, kt, l, l=, lf, lk, lm, lp, lps, ls, lst, lt, lx, m, m+, mS, mf, mp, mps, ms, mt, n, n=, nJ, nS, nd, nf, nft, ns, nst, nt, nx, p, ps, pst, pt, r, r=, r=t, rS, rf, rft, rk, rkt, rl, rm, rn, rp, rpst, rpt, rs, rst, rt, rx, s, sk, st, t, v, x, x=, xt}
@attribute gender {-, F, FM, FN, M, MF, MN, N, NF, NM}
@attribute class {-, U, Ue, Uer, e, en, er, s}

@data
39,kv,e,r,Sn,I,t,M,e
8,t,i,-,r,U,N,F,en
0,l,e,-,b,@,r,F,en
1,z,I,=,b,a,t,N,Uer
6,gl,W,-,x,U,N,F,en
2,l,U,ft,Sl,O,s,N,Uer
0,p,W,t,S,U,N,F,en
25,n,i,-,-,@,r,M,-
0,r,E,x,n,U,N,F,en
8,t,@,n,h,B,s,N,Uer
1,z,@,-,r,I,x,M,e
12,S,e,-,m,@,l,M,-
2,g,@,n,h,W,t,F,en
5,m,@,-,r,&,N,M,e
18,j,U,Nk,t,u,r,F,en
36,-,-,-,l,I,ft,M,e
0,r,I,x,t,U,N,F,en
0,s,i,-,-,o,n,F,en
17,b,@,r,-,&,rm,M,e
28,St,E,-,t,@,-,F,en
9,v,I,-,l,@,-,M,en
23,fr,W,-,-,@,r,M,-
1,d,I,-,g,U,N,F,en
0,l,i,-,-,@,-,F,en
0,d,@,r,h,B,s,N,Uer
300,d,@,r,Spr,U,x,M,Ue
25,n,E,-,n,U,N,F,en
0,p,@,n,gr,a,s,N,Uer
40,z,o,-,f,a,-,N,s
0,f,e,-,g,@,-,N,-
1,l,o,-,z,U,N,F,en
3,n,a,-,d,@,l,F,en
0,h,a,-,b,@,r,M,-
5,r,a,-,t,@,r,M,-
38,-,-,-,kr,e,ps,M,e
22,p,B,-,z,@,-,F,en
14,=,i,-,-,o,n,F,en
9,-,-,-,=,B,m,M,Ue
6,f,&,Ns,p,U,Nkt,M,e
0,k,W,=,v,O,rt,N,Uer
27,-,I,s,m,U,s,M,en
18,l,a,-,g,@,-,F,en
294,-,-,-,v,&,nt,F,Ue
0,t,y,-,r,@,-,F,en
0,n,O,s,t,@,r,M,-
0,v,i,-,-,@,-,F,en
0,-,-,-,z,I,lt,M,e
4,=,a,n,Sm,E,r=,M,en
15,=,E,-,l,@,-,F,en
7,g,@,-,f,E,xt,N,e
1,tl,@,-,r,W,-,F,en
0,=,i,-,-,o,n,F,en
2,t,a,-,Z,@,-,F,en
0,h,e,-,b,@,l,M,-
7,l,|,-,z,U,N,F,en
490,r,e,-,t,),r,M,e
16,s,o,-,r,I,n,F,en
13,r,U,n,d,@,-,F,en
3,-,-,-,t,O,rf,M,e
0,r,i,-,-,U,m,N,en
0,=,i,-,-,o,n,F,en
12,l,a,-,g,@,-,F,en
0,h,y,-,dr,i,t,N,e
1,t,a,-,n,@,-,M,en
0,v,a,-,r,@,-,F,en
4,f,y,-,r,U,N,F,en
35,f,y,-,l,U,N,F,en
0,x,@,-,r,W,-,F,en
2,z,e,-,fr,&,xt,F,en
10,g,U,k,l,O,x,N,Uer
3,-,&,k,s,@,-,F,en
0,l,U,s,t,@,r,M,-
1,z,X,-,r,@,-,F,en
461,-,-,-,m,o,nt,M,e
0,x,e,-,n,@,-,M,en
1,g,),r,tn,@,r,M,-
4,=,Y,-,kl,o,n,M,e
2,-,-,-,t,Y,l,M,e
9,-,-,-,Sr,W,n,M,e
62,N,@,-,r,U,N,F,en
4,b,o,-,g,@,n,M,-
31,k,I,-,t,@,l,M,-
0,pl,&,s,m,q,-,N,s
0,t,@,n,-,&,mt,N,Uer
6,-,-,-,z,&,N,M,Ue
0,r,B,x,v,E,rk,N,e
3,t,i,-,-,o,n,F,en
6,St,X,-,-,@,r,F,en
0,t,u,-,r,I,st,M,en
0,b,a,-,k,@,-,F,en
114,-,-,-,l,O,k,F,s
9,t,&,-,r,i,f,M,e
1,pr,E,-,s,U,m,N,en
0,=,&,-,k,@,-,F,en
4,-,I,N,k,a,-,M,s
12,l,o,-,k,a,l,N,e
122,-,&,-,l,e,-,F,en
276,-,-,-,Str,W,k,M,s
1,St,O,p,l,I,xt,N,er
9,g,@,-,b,y,r,F,en
4,_,E,s,b,E,nt,F,s
4,l,I,n,d,@,r,M,-
0,-,o,ns,St,i,l,M,e
5,b,@,ns,-,&,Nst,F,Ue
4,h,E,-,=,@,r,M,-
648,-,-,-,l,U,ft,F,Ue
7,=,i,-,-,o,n,F,en
120,r,E,nt,n,@,r,M,-
1,tr,W,-,b,U,N,F,en
42,-,&,r,b,W,t,F,en
2,=,i,-,-,o,n,F,en
211,-,-,-,-,|,l,N,e
0,bl,O,-,x,@,r,M,-
15,t,U,r,n,i,r,N,e
0,g,@,-,b,B,-,M,e
0,-,o,-,z,@,-,F,en
0,g,@,-,r,W,-,F,en
0,t,i,-,k,@,r,M,-
193,l,I,-,x,U,N,F,en
16,=,I,-,l,i,n,N,e
3,l,a,-,g,@,-,F,en
0,t,e,-,Str,B,x,M,Uer
4,t,@,r,g,&,N,M,Ue
6,=,i,-,-,o,n,F,en
0,n,&,n,t,@,-,F,en
36,l,i,-,t,i,k,F,en
13,k,U,-,p,@,-,F,en
19,p,i,-,gr,&,m,N,e
0,k,E,t,l,W,n,N,-
2084,-,-,-,kr,&,ft,F,Ue
1,Sl,&,x,t,U,N,F,en
4,br,y,-,-,@,-,F,en
0,=,i,r,gr,a,s,N,Uer
27,f,y,-,g,U,N,F,en
0,-,e,-,z,@,l,M,-
6,k,&,s,t,@,n,M,U
2,n,O,-,t,@,-,M,en
0,b,E,-,k,@,n,N,-
18,b,&,l,k,a,n,M,e
3,S,&,l,t,U,N,F,en
20,d,@,n,kr,W,s,M,e
0,d,@,-,r,U,N,F,en
1,r,a,-,t,O,r,M,en
1,g,a,-,b,@,-,F,en
6,Spr,U,-,x,U,N,F,en
112,-,&,-,l,I,st,M,en
0,=,i,-,r,U,N,F,en
562,m,o,-,t,O,r,M,en
25,=,i,-,-,o,n,F,en
11,r,&,-,x,@,n,M,-
4,b,@,-,=,I,rk,M,e
9,n,a,-,m,@,-,F,en
144,g,@,-,r,Y,xt,N,e
10,x,@,n,m,&,rkt,M,Ue
2,r,O,-,t,@,-,F,en
0,S,i,-,n,@,-,F,en
1,f,W,-,-,@,r,F,en
21,t,e,-,r,a,n,M,en
10,-,-,-,sl,&,m,M,s
1,-,@,n,k,U,lt,M,e
8,b,@,-,r,I,xt,M,e
0,St,U,n,d,@,-,F,en
9,p,@,r,m,&,n,M,Uer
14,Sp,a,-,t,@,n,M,-
1,d,@,r,kl,&,N,M,Ue
0,-,i,-,d,@,-,M,en
0,l,a,-,d,U,N,F,en
8,v,I,xt,l,@,r,M,-
0,n,i,-,t,|,r,M,e
1,pr,E,s,l,I,N,M,e
122,z,E,N,k,U,N,F,en
219,l,W,-,-,@,-,F,en
7,l,W,-,t,U,N,F,en
0,t,a,-,Z,@,-,F,en
82,j,a,r,g,&,N,M,Ue
0,l,@,n,St,O,f,M,e
12,-,E,rp,s,@,-,F,en
5,=,u,-,St,&,nt,M,Ue
71,k,U,n,d,@,-,F,en
0,-,@,-,r,U,N,F,en
1,=v,I,-,t,@,r,M,-
1,k,&,r,t,@,-,F,en
6,m,B,-,-,@,r,F,en
2,v,&,-,l,E,n=,F,en
387,-,-,-,+,e,rt,N,e
1,k,e,rs,=,u,k,M,Ue
0,v,i,-,-,o,n,F,en
0,b,Y,r,st,@,-,F,en
0,h,U,-,k,@,-,F,en
16,s,I,-,g,U,N,F,en
6,t,@,-,r,U,N,F,en
17,n,I,-,_m,@,nt,N,s
1,kr,E,-,s,@,-,F,en
0,r,&,l,g,i,-,F,en
4,t,@,r,t,W,l,NM,e
0,k,I,r,x,@,-,F,en
3,=,i,-,-,o,n,F,en
1,p,U,Nk,t,u,r,F,en
0,p,&,r,t,E,r,N,s
0,+l,E,n=,x,@,n,N,-
8,r,O,-,l,@,r,M,-
7,v,E,r,f,@,r,M,-
4,k,O,-,m,@,n,NM,-
0,Sm,E,r,l,@,-,F,en
2,f,&,l,b,W,l,N,e
0,t,@,-,l,W,-,F,en
1,p,@,-,l,U,N,F,en
1,k,&,-,s,e,-,N,s
5,f,a,-,n,@,-,F,en
3,-,&,n,z,I,xt,F,en
5,r,i,-,t,a,t,F,en
45,l,W,-,-,@,n,N,-
0,v,u,ks,St,O,f,M,e
0,z,i,-,r,U,N,F,en
1,r,U,Ns,pl,a,n,M,Ue
0,Sv,U,N,kr,&,ft,F,Ue
5,m,o,-,t,O,r,M,en
0,v,i,-,n,@,-,F,en
1,t,i,-,b,y,l,N,e
34,m,&,r,m,O,r,M,e
1,l,E,-,t,@,-,N,s
23,p,a,-,=,@,-,F,en
65,fr,a,-,g,@,-,F,en
49,g,e,-,-,@,n,N,-
7,d,&,m,+,@,r,M,U
3,n,Y,-,=,U,N,F,en
0,g,@,-,v,I,xt,N,e
0,fl,o,-,r,I,st,M,en
3,m,E,l,d,U,N,F,en
0,n,e,-,-,a,l,N,e
3477,-,-,-,z,i,-,F,s
4,r,I,x,t,@,r,M,-
211,r,&,-,S,U,N,F,en
0,l,e,-,r,@,-,F,en
0,gr,|,-,s,@,-,F,en
1,g,@,l,Sl,a,k,M,Ue
0,g,@,ns,Spr,U,x,M,Ue
5,t,i,-,f,@,-,F,en
1,b,B,m,f,&,rn,M,e
1,Sl,E,x,t,@,r,M,-
0,dr,U,-,k,@,r,M,-
1,-,&,m,br,a,-,MF,s
0,pr,e,-,m,&,t,MN,e
5,b,E,r,g,@,-,F,en
7,-,&,l,b,U,m,N,en
0,r,I,-,l,@,-,F,en
0,S,W,-,b,@,-,F,en
0,t,&,-,n,I,st,M,en
2,t,&,-,S,@,-,F,en
7,r,o,-,b,@,-,F,en
0,n,o,-,l,i,t,M,en
619,-,-,-,m,&,rkt,M,Ue
0,Sp,i,-,r,&,nt,M,en
0,k,o,-,l,@,-,F,en
520,-,-,-,v,E,st,M,e
1,Sl,),-,g,@,l,M,-
425,-,-,-,t,o,r,N,e
2,r,W,-,x,U,N,F,en
0,dr,Y,-,k,@,r,M,-
0,-,&,r,b,W,t,F,en
3,f,y,-,r,@,r,M,-
1,fr,i,-,d,U,N,F,en
0,n,@,-,r,U,N,F,en
0,Spr,E,-,N,@,r,M,-
90,m,y,-,z,@,-,N,-
4,-,o,ns,S,E,f,M,s
2,l,i,-,s,@,-,F,en
0,t,@,-,r,W,-,F,en
0,z,W,-,l,@,r,M,-
0,k,o,-,z,@,-,F,en
17,gr,a,p,m,a,l,N,Uer
34,f,E,r,b,U,N,F,en
0,=,W,x,n,I,s,N,e
5,Spr,u,-,d,@,l,M,-
0,g,I,s,n,&,xt,F,Ue
0,s,i,-,d,E,nt,M,en
0,v,I,x,t,@,l,M,-
1,t,E,r,n,@,-,F,en
4,v,&,r,=,@,-,F,en
0,b,E,-,k,@,n,N,-
2,s,I,x,k,W,t,F,en
0,-,W,-,z,@,n,N,-
7,=,i,-,-,o,n,F,en
20,f,&,r,b,@,-,F,en
26,z,i,-,n,@,-,F,en
0,d,@,-,l,@,r,M,-
34,-,-,-,d,U,nst,M,Ue
0,n,&,-,d,i,r,M,e
0,z,&,-,x,@,-,F,en
7,-,&,m,z,@,l,F,en
70,b,W,=,kr,W,s,M,e
5,v,&,l,t,@,r,M,-
10,g,I,s,t,@,r,M,-
42,=,i,-,-,o,n,F,en
0,d,@,-,r,I,n,F,en
0,z,a,-,t,O,r,M,en
0,m,i,-,n,@,-,F,en
2,t,@,-,l,E,t,N,s
0,-,&,n,=,u,k,M,Ue
8,l,@,ns,kr,&,ft,F,Ue
115,v,I,t,v,@,-,F,en
44,t,a,-,Z,@,-,F,en
6,fl,E,-,x,@,-,F,en
0,br,E,-,x,@,r,M,-
74,p,a,-,n,@,r,M,-
5,kr,i,-,z,@,-,F,en
6,-,o,-,l,@,-,F,en
272,dr,I,-,t,@,l,N,-
12,h,E,lt,n,I,s,N,e
0,bl,u,-,m,@,-,F,en
1,v,W,ps,St,Y,k,N,e
4,+l,e,k,l,I,N,M,e
0,=,i,-,-,o,n,F,en
1,-,O,p,j,E,kt,N,e
1,p,i,-,-,@,r,M,-
30,St,u,-,b,@,-,F,en
97,l,@,-,r,i,-,F,en
0,l,o,-,g,@,-,M,en
1,b,U,-,s,&,rt,M,e
78,tr,a,-,g,U,N,F,en
0,d,@,n,l,o,n,M,Ue
0,kl,I,-,k,@,r,M,-
1,gr,a,ls,b,U,rk,F,en
0,b,Y,n,d,@,l,N,-
77,d,i,t,r,I,x,M,e
25,br,&,n,d,U,N,F,en
2,t,@,-,r,@,r,M,-
6,fr,a,-,g,@,r,M,-
0,+l,Y,-,k,@,r,M,-
14,St,E,-,l,U,N,F,en
2,d,i,-,-,U,m,N,en
112,p,&,-,p,i,r,N,e
19,f,O,lks,fr,O,nt,F,en
193,v,),-,l,@,r,M,-
23,=,W,x,n,I,s,N,e
0,=,W,-,g,@,-,F,en
1,k,E,st,n,@,r,M,-
4,t,@,l,m,a,s,N,e
0,r,i,-,-,@,-,F,en
108,b,I,l,d,@,-,N,-
286,Sp,&,-,n,U,N,F,en
4,p,U,-,r,i,-,N,s
28,m,&,-,x,U,N,F,en
0,k,&,-,d,&,m,MN,e
0,b,a,r,t,u,x,N,Uer
25,-,E,-,r,a,-,F,s
487,f,E,r,b,&,nt,M,Ue
1,b,X,-,l,@,-,F,en
1,g,@,n,bl,&,t,N,Uer
1,-,@,n,n,E,st,N,er
0,St,E,p,n,a,t,F,Ue
2,z,i,-,r,U,N,F,en
0,g,@,-,b,i,t,N,e
23,r,o,-,b,@,-,F,en
0,h,&,s,p,@,-,F,en
46,n,o,-,r,a,r,N,e
12,k,/,r,p,@,r,M,-
4,r,e,-,gl,@,r,M,-
1,t,@,-,r,W,-,F,en
20,n,@,-,r,i,-,F,en
16,=,i,-,-,o,n,F,en
5,r,i,-,t,O,n,M,e
1,r,&,l,z,e,-,M,en
0,k,a,-,l,i,-,N,en
0,t,B,-,f,@,-,F,en
25,n,a,-,m,@,-,F,en
0,b,&,r,m,@,r,M,-
4,tr,u,-,-,@,-,F,en
0,t,a,k,S,I,xt,F,en
0,l,I,x,t,U,N,F,en
0,-,&,n,=,u,k,M,Ue
0,=,i,-,-,o,n,F,en
5,v,E,k,s,@,l,M,-
0,g,@,r,h,O,l=,N,Uer
46,br,I,-,N,U,N,F,en
3,t,i,-,k,@,r,M,-
0,d,@,r,kr,I,st,M,en
0,f,&,l,z,U,xt,F,Ue
3,z,a,-,g,@,r,M,-
2,d,e,-,m,i,-,F,en
11,v,y,s,t,U,N,F,en
76,fl,&,-,g,@,-,F,en
13,Sv,|,-,r,U,N,F,en
196,-,B,s,m,a,s,N,e
0,l,i,-,-,q,s,F,en
1,kr,y,m,x,@,n,N,-
4,f,O,l,g,U,N,F,en
5,m,U,-,t,@,r,F,U
0,f,&,-,l,@,-,F,en
0,b,u,-,z,@,-,F,en
0,h,),k,x,@,n,N,-
3,b,U,l,j,O,N,F,s
1,dr,y,-,z,@,-,F,en
3,p,o,-,n,E,nt,M,en
9,k,@,-,r,U,N,F,en
125,j,u,-,d,@,-,M,en
0,-,o,r,St,W,n,M,e
7,r,I,x=,h,o,f,M,Ue
6,t,I,x,k,W,t,F,en
3,m,&,-,x,@,r,M,-
5,t,@,n,gl,i,t,N,er
1,m,@,n,b,B,m,M,Ue
27,Spr,a,-,x,@,-,F,en
2,+,@,-,r,U,N,F,en
1,=,W,x,n,U,N,F,en
0,m,U,-,m,U,N,F,en
110,f,E,r,d,i,nst,M,e
0,f,U,-,t,@,r,N,-
0,m,a,-,l,@,r,M,-
0,l,W,p,x,@,n,N,-
0,d,I,x,t,@,r,M,-
12,-,-,-,S,a,l,M,s
15,skl,a,-,v,U,N,F,en
5,z,@,-,b,u,x,N,Uer
137,Sr,E,N,k,U,N,F,en
0,t,u,-,-,@,r,M,-
5,t,U,Ns,dr,a,t,M,Ue
0,Sp,I,k,-,a,l,M,e
52,b,@,n,z,&,=,M,Ue
1,m,i,-,n,U,N,F,en
1,z,&,-,x,@,-,F,en
8,S,I,x,t,@,-,F,en
124,z,I,-,gn,a,l,N,e
0,=,W,x,n,I,s,N,e
9,r,i,-,-,@,-,F,en
1,=,i,-,-,o,n,F,en
3,-,&,rl,b,E,rk,M,e
304,gr,U,nt,z,&,=,M,Ue
0,b,@,-,St,E,k,N,e
5874,-,-,-,v,E,lt,F,en
2,l,i,-,=,W,-,F,en
3,n,a,x,v,W,s,M,e
60,-,-,-,r,O,k,N,Ue
0,b,a,r,k,B,f,M,Ue
11,tr,e,-,z,o,r,M,e
273,r,W,-,z,@,-,F,en
0,fr,i,t,h,o,f,M,Ue
2,z,U,-,m,@,-,F,en
4,r,i,-,-,@,r,M,-
20,tr,),-,g,@,r,M,-
0,n,I,-,k,@,l,M,-
0,t,o,-,n,U,N,F,en
8,-,&,-,f,@,-,M,en
926,-,-,-,b,a,t,N,Uer
3,m,a,-,l,i,-,F,en
187,tr,),-,g,@,r,M,-
21,k,U,nst,St,Y,k,N,e
0,f,E,r,h,&,lt,M,er
0,t,),l,x,@,n,N,-
0,k,U,l,p,&,nt,M,en
1,r,U,nt,b,&,Nk,F,Ue
2,z,i,-,-,o,n,F,en
116,g,i,-,r,U,N,F,en
83,f,E,r,h,&,lt,M,e
0,br,I,-,N,@,r,M,-
3,b,I,l,d,U,N,F,en
0,r,a,-,n,@,r,M,-
95,=,U,-,N,@,-,F,en
0,-,&,-,m,i,t,N,e
1,-,W,-,l,U,N,F,en
2,t,I,x,k,W,t,F,en
9,g,a,r,t,@,n,M,U
420,-,-,-,m,a,s,N,e
0,k,@,n,br,U,x,M,Ue
120,g,i,-,-,o,n,F,en
0,l,B,p,f,&,l,M,Ue
16,d,@,-,dr,U,k,M,Ue
6,St,E,r,k,@,-,F,en
2,r,W,t,b,a,n,F,en
0,n,a,-,m,@,-,M,en
0,h,U,n=,f,O,t,M,e
0,bl,a,-,z,@,-,F,en
2,Sp,i,l,b,&,Nk,F,en
27,f,e,-,r,E,n=,F,en
1,k,&,-,m,@,r,F,en
37,k,/,r,p,@,r,M,-
88,-,B,s,br,U,x,M,Ue
21,r,u,-,t,@,-,F,en
1,r,Y,k,r,u,f,M,e
11,-,&,x,t,U,N,F,en
52,St,U,n,d,@,-,F,en
0,-,e,-,d,@,r,N,-
4,t,y,r,Sp,&,lt,M,e
0,z,@,-,r,U,N,F,en
1,t,@,l,t,i,r,N,e
1,St,I,-,m,U,N,F,en
