@relation past-tense
@attribute frequency NUMERIC
@attribute p1 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p2 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p3 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p4 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p5 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p6 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p7 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p8 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute p9 {=, @, &, 3:, A:, aI, aU, b, bj, bl, bl#, br, d, D, dj, dl#, dn#, dr, dw, dZ, E, E@, eI, f, fj, fl, fl#, fn#, fr, ft, g, gj, gl, gl#, gr, gw, h, hj, i:, I, I@, j, k, kj, kl, kl#, kr, ks, kt, kw, l, ld, ldZ, lf, lj, lk, lm, lp, lpt, ls, lS, lt, ltS, lv, m, mf, mj, ml#, mp, mps, mpt, n, N, nd, ndZ, nj, Nk, nl#, ns, nt, ntS, nz, O, O:, OI, p, pj, pl, pl#, pr, ps, pt, r, r*, s, S, sj, sk, skj, skl, skr, skw, sl, sl#, Sl#, sm, sn, sn#, Sn#, sp, spj, spl, spr, Sr, st, stj, str, sw, t, T, tj, Tj, tl#, tn#, Tn#, tr, Tr, ts, tS, tSr, tw, Tw, u:, U, @U, U@, v, V, vj, vl#, vn#, vz, w, z, Z, zj, zl#, zn#, Zn#}
@attribute class { IRREG-aI-aU.,  IRREG-aI-eI.,  IRREG-aI-I.,  IRREG-aI-O:., IRREG-aI-O.,  IRREG-aI-u:.,  IRREG-aI-@U.,  IRREG-aI-V.,  IRREG-CONV., IRREG-@+d.,  IRREG-d-t.,  IRREG-E-&.,  IRREG-eI-u:.,  IRREG-eI-@U., IRREG-eI-U.,  IRREG-E-O.,  IRREG-E@-O:.,  IRREG-I-&.,  IRREG-i:-E., IRREG-i:-E+d.,  IRREG-I-eI.,  IRREG-i:-E+t.,  IRREG-i:-O:., IRREG-i:-@U.,  IRREG-I-U.,  IRREG-I-V.,  IRREG-@+ked.,  IRREG-O:-E., IRREG-OTHER.,  IRREG-O-u.,  IRREG-O:-u:.,  IRREG-@-s+ed.,  IRREG-@+t., IRREG-@U-E.,  IRREG-@U-ju:.,  IRREG-u:-O.,  IRREG-u:-@U., IRREG-@U-u:.,  IRREG-&-V.,  IRREG-V-&.,  IRREG-V-eI.,  REG.}

@data
935,s,@U,=,S,I,=,=,eI,t,REG.
75,=,=,=,=,@,=,s,O:,t,REG.
44,=,=,=,=,@,=,sw,eI,dZ,REG.
1968,=,=,=,=,@,=,sj,u:,m,REG.
691,=,=,=,=,@,=,S,O:,r*,REG.
238,=,@,=,st,O,=,n,I,S,REG.
103,=,=,=,=,@,=,st,aU,nd,REG.
15,=,=,=,=,@,=,t,@U,n,REG.
18,=,&,=,tr,@,=,f,I,=,REG.
878,=,=,=,=,@,=,t,&,tS,REG.
1255,=,=,=,=,@,=,t,&,k,REG.
234,=,=,=,=,@,=,t,eI,n,REG.
1404,=,=,=,=,@,=,t,E,mpt,REG.
1340,=,=,=,=,@,=,t,E,nd,REG.
21,t,E,=,nj,U,=,=,eI,t,REG.
32,=,=,=,=,@,=,t,E,st,REG.
16,=,@,=,t,aI,=,=,@,r*,REG.
968,=,=,=,=,@,=,tr,&,kt,REG.
16,=,=,=,=,O:,=,d,I,t,REG.
18,=,O:,=,d,I,=,Sn#,=,=,REG.
67,=,=,=,=,O:,g,m,E,nt,REG.
16,T,E,n,t,I,=,k,eI,t,REG.
138,=,O:,=,T,@,=,r,aI,z,REG.
11,=,O:,=,t,@,=,gr,A:,f,REG.
61,=,O:,=,t,@U,=,m,eI,t,REG.
46,=,=,=,=,@,=,v,eI,l,REG.
58,=,=,=,=,@,=,v,E,ndZ,REG.
11,=,=,=,=,@,=,v,3:,r*,REG.
116,=,&,=,v,@,=,r,I,dZ,REG.
137,=,=,=,=,@,=,v,3:,t,REG.
2057,=,=,=,=,@,=,v,OI,d,REG.
12,=,=,=,=,@,=,v,aU,=,REG.
396,=,=,=,=,@,=,w,eI,t,REG.
144,=,=,=,=,@,=,w,eI,k,IRREG-eI-@U.
212,=,@,=,w,eI,=,k,@,n,REG.
241,=,=,=,=,@,=,w,O:,d,REG.
47,=,=,=,=,=,=,=,O:,=,REG.
70,=,=,=,b,&,=,bl#,=,=,REG.
504,=,=,=,=,=,=,b,&,k,REG.
27,b,&,k,f,aI,=,=,@,r*,REG.
11,=,=,=,b,&,k,sl,aI,d,IRREG-aI-I.
13,=,=,=,b,&,k,tr,&,k,REG.
25,=,=,=,b,&,=,dZ,@,r*,REG.
131,=,=,=,b,&,=,fl#,=,=,REG.
35,=,=,=,=,=,=,b,&,g,REG.
52,=,=,=,=,=,=,b,eI,l,REG.
274,=,=,=,=,=,=,b,eI,t,REG.
423,=,=,=,=,=,=,b,eI,k,REG.
501,=,=,=,b,&,=,l,@,ns,REG.
34,=,=,=,=,=,=,b,O:,k,REG.
18,=,=,=,b,@,=,l,u:,n,REG.
10,=,=,=,b,&,=,l,@,t,REG.
362,=,=,=,=,=,=,b,&,n,REG.
40,=,=,=,=,=,=,b,&,nd,REG.
66,=,=,=,b,&,n,d,I,dZ,REG.
23,=,=,=,b,&,n,d,I,=,REG.
290,=,=,=,=,=,=,b,&,N,REG.
114,=,=,=,b,&,=,n,I,S,REG.
98,=,=,=,=,=,=,b,&,Nk,REG.
15,=,=,=,b,&,N,kr,V,pt,REG.
36,=,=,=,b,&,N,kw,I,t,REG.
72,=,=,=,b,&,p,t,aI,z,REG.
106,=,=,=,=,=,=,b,A:,r*,REG.
80,=,=,=,=,=,=,b,E@,r*,REG.
271,=,=,=,b,A:,=,g,I,n,REG.
31,=,=,=,=,=,=,b,A:,dZ,REG.
181,=,=,=,=,=,=,b,A:,k,REG.
17,b,&,=,r,I,=,k,eI,d,REG.
25,=,=,=,b,A:,=,t,@,r*,REG.
67,=,=,=,=,=,=,b,&,S,REG.
69,=,=,=,=,=,=,b,A:,sk,REG.
36,=,=,=,=,=,=,b,eI,st,REG.
113,=,=,=,=,=,=,b,&,t,REG.
42,=,=,=,=,=,=,b,eI,t,REG.
109,=,=,=,=,=,=,b,A:,T,REG.
163,=,=,=,=,=,=,b,eI,D,REG.
313,=,=,=,b,&,=,t,@,r*,REG.
164,=,=,=,b,&,=,tl#,=,=,REG.
75,=,=,=,=,=,=,b,O:,l,REG.
41,=,=,=,=,=,=,b,eI,=,REG.
11,b,eI,=,=,@,=,n,I,t,REG.
687085,=,=,=,=,=,=,b,i:,=,IRREG-OTHER.
687085,=,=,=,=,=,=,b,i:,=,IRREG-OTHER.
16,=,=,=,=,=,=,b,i:,tS,REG.
27,=,=,=,=,=,=,b,i:,d,REG.
160,=,=,=,=,=,=,b,i:,m,REG.
1917,=,=,=,=,=,=,b,E@,r*,IRREG-E@-O:.
1544,=,=,=,=,=,=,b,i:,t,IRREG-CONV.
144,=,=,=,b,E,=,k,@,n,REG.
14957,=,=,=,b,I,=,k,V,m,IRREG-V-eI.
57,=,=,=,=,=,=,b,E,d,REG.
25,b,I,=,d,E,=,vl#,=,=,REG.
65,=,=,=,b,I,=,f,O:,l,IRREG-O:-E.
35,=,=,=,b,I,=,f,I,t,REG.
38,=,=,=,b,I,=,fr,E,nd,REG.
14,b,I,=,f,V,=,dl#,=,=,REG.
546,=,=,=,=,=,=,b,E,g,REG.
38,=,=,=,b,I,=,g,E,t,IRREG-E-&.
38,=,=,=,b,I,=,g,E,t,IRREG-E-O.
12254,=,=,=,b,I,=,g,I,n,IRREG-I-&.
20,=,=,=,b,I,=,gr,V,dZ,REG.
23,=,=,=,b,I,=,g,aI,l,REG.
825,=,=,=,b,I,=,h,eI,v,REG.
18,=,=,=,b,I,=,h,E,d,REG.
88,=,=,=,b,I,=,h,@U,ld,IRREG-@U-E.
13,=,=,=,b,I,=,h,@U,v,REG.
15,=,=,=,b,I,=,l,eI,=,REG.
59,=,=,=,=,=,=,b,E,ltS,REG.
25,b,I,=,l,i:,=,g,@,r*,REG.
35,=,=,=,b,I,=,l,aI,=,REG.
7649,=,=,=,b,I,=,l,i:,v,REG.
47,b,I,=,l,I,=,tl#,=,=,REG.
92,=,=,=,b,E,=,l,@U,=,REG.
1483,=,=,=,b,I,=,l,O,N,REG.
27,=,=,=,=,=,=,b,E,lt,REG.
15,=,=,=,b,I,=,m,@U,n,REG.
1179,=,=,=,=,=,=,b,E,nd,REG.
1179,=,=,=,=,=,=,b,E,nd,IRREG-d-t.
347,b,E,=,n,I,=,f,I,t,REG.
31,=,=,=,b,I,=,kw,i:,D,REG.
29,=,=,=,b,I,=,r,eI,t,REG.
32,=,=,=,b,I,=,s,i:,tS,REG.
32,=,=,=,b,I,=,s,i:,tS,IRREG-OTHER.
63,=,=,=,b,I,=,s,E,t,IRREG-CONV.
54,=,=,=,b,I,=,s,i:,dZ,REG.
10,=,=,=,b,I,=,sp,i:,k,IRREG-i:-@U.
87,=,=,=,b,I,=,st,@U,=,REG.
11,=,=,=,b,I,=,str,aI,d,IRREG-aI-@U.
447,=,=,=,=,=,=,b,E,t,IRREG-CONV.
447,=,=,=,=,=,=,b,E,t,REG.
10,=,=,=,b,I,=,t,eI,k,IRREG-eI-U.
19,b,I,=,t,@U,=,k,@,n,REG.
358,=,=,=,b,I,=,tr,eI,=,REG.
346,=,=,=,b,E,=,t,@,r*,REG.
245,b,I,=,w,I,l,d,@,r*,REG.
96,=,=,=,b,I,=,w,I,tS,REG.
88,=,=,=,b,aI,=,=,@,s,REG.
23,=,=,=,b,I,=,k,@,r*,REG.
74,b,aI,=,s,I,=,kl#,=,=,REG.
85,=,=,=,=,=,=,b,I,d,IRREG-I-&.
56,=,=,=,=,=,=,b,I,d,IRREG-CONV.
85,=,=,=,=,=,=,b,I,d,IRREG-CONV.
47,=,=,=,=,=,=,b,I,l,REG.
11,=,=,=,b,I,=,l,I,t,REG.
72,=,=,=,b,I,=,l,@U,=,REG.
303,=,=,=,=,=,=,b,aI,nd,IRREG-I-U.
16,=,=,=,b,aI,=,s,E,kt,REG.
21,=,=,=,=,=,=,b,I,tS,REG.
492,=,=,=,=,=,=,b,aI,t,IRREG-aI-I.
29,b,I,=,v,U,=,=,&,k,IRREG-@+ked.
145,=,=,=,=,=,=,bl,&,k,REG.
91,=,=,=,bl,&,=,k,@,n,REG.
69,=,=,=,bl,&,k,m,eI,l,REG.
834,=,=,=,=,=,=,bl,eI,m,REG.
46,=,=,=,=,=,=,bl,A:,ntS,REG.
33,=,=,=,bl,&,N,k,I,t,REG.
43,=,=,=,=,=,=,bl,E@,r*,REG.
126,=,=,=,=,=,=,bl,A:,st,REG.
130,=,=,=,=,=,=,bl,eI,z,REG.
75,=,=,=,=,=,=,bl,i:,tS,REG.
35,=,=,=,=,=,=,bl,i:,t,REG.
432,=,=,=,=,=,=,bl,i:,d,IRREG-i:-E.
147,=,=,=,=,=,=,bl,E,nd,REG.
315,=,=,=,=,=,=,bl,E,s,REG.
33,=,=,=,=,=,=,bl,aI,t,REG.
156,=,=,=,=,=,=,bl,aI,nd,REG.
21,=,=,=,bl,aI,nd,f,@U,ld,REG.
246,=,=,=,=,=,=,bl,I,Nk,REG.
27,=,=,=,bl,I,=,st,@,r*,REG.
27,=,=,=,=,=,=,bl,I,ts,REG.
12,=,=,=,=,=,=,bl,@U,t,REG.
425,=,=,=,=,=,=,bl,O,k,REG.
14,=,=,=,bl,O,=,k,eI,d,REG.
18,=,=,=,=,=,=,bl,V,d,REG.
64,=,=,=,=,=,=,bl,u:,m,REG.
56,=,=,=,bl,O,=,s,@,m,REG.
98,=,=,=,=,=,=,bl,O,t,REG.
1507,=,=,=,=,=,=,bl,@U,=,IRREG-@U-u:.
22,=,=,=,bl,V,=,b,@,r*,REG.
14,=,=,=,bl,V,=,dZ,@,n,REG.
39,=,=,=,=,=,=,bl,V,f,REG.
67,=,=,=,bl,V,n,d,@,r*,REG.
38,=,=,=,=,=,=,bl,V,nt,REG.
217,=,=,=,=,=,=,bl,3:,r*,REG.
194,=,=,=,=,=,=,bl,V,S,REG.
16,=,=,=,bl,V,=,st,@,r*,REG.
169,=,=,=,=,=,=,b,O:,d,REG.
211,=,=,=,=,=,=,b,@U,st,REG.
23,=,=,=,=,=,=,b,@U,t,REG.
139,=,=,=,=,=,=,b,O,b,REG.
23,=,=,=,=,=,=,b,@U,d,REG.
16,=,=,=,b,O,=,gl#,=,=,REG.
768,=,=,=,=,=,=,b,OI,l,REG.
50,=,=,=,b,@U,l,st,@,r*,REG.
110,=,=,=,=,=,=,b,@U,lt,REG.
225,=,=,=,=,=,=,b,O,m,REG.
48,=,=,=,b,O,m,b,A:,d,REG.
37,=,=,=,=,=,=,b,O,nd,REG.
26,=,=,=,=,=,=,b,u:,=,REG.
290,=,=,=,=,=,=,b,U,k,REG.
191,=,=,=,=,=,=,b,u:,m,REG.
149,=,=,=,=,=,=,b,u:,st,REG.
20,=,=,=,=,=,=,b,u:,z,REG.
12,=,=,=,=,=,=,b,O,p,REG.
100,=,=,=,b,O:,=,d,@,r*,REG.
568,=,=,=,=,=,=,b,O:,r*,REG.
554,=,=,=,b,O,=,r,@U,=,REG.
46,=,=,=,=,=,=,b,O,s,REG.
23,=,=,=,=,=,=,b,O,tS,REG.
1047,=,=,=,b,O,=,D,@,r*,REG.
102,=,=,=,b,O,=,tl#,=,=,REG.
21,b,O,=,tl#,=,=,=,=,=,IRREG-i:-E.
289,=,=,=,=,=,=,b,aU,ns,REG.
107,=,=,=,=,=,=,b,aU,nd,REG.
279,=,=,=,=,=,=,b,aU,=,REG.
57,=,=,=,=,=,=,b,@U,=,REG.
229,=,=,=,=,=,=,b,@U,l,REG.
16,=,=,=,=,=,=,b,O,ks,REG.
50,=,=,=,b,OI,=,k,O,t,REG.
106,=,=,=,=,=,=,br,eI,s,REG.
17,=,=,=,br,&,=,k,I,t,REG.
30,=,=,=,=,=,=,br,&,g,REG.
50,=,=,=,=,=,=,br,eI,d,REG.
49,=,=,=,br,eI,n,w,O,S,REG.
58,=,=,=,=,=,=,br,eI,k,REG.
53,=,=,=,=,=,=,br,A:,ntS,REG.
52,=,=,=,=,=,=,br,&,nd,REG.
41,=,=,=,br,&,n,d,I,S,REG.
31,=,=,=,=,=,=,br,eI,v,REG.
17,=,=,=,=,=,=,br,eI,=,REG.
28,=,=,=,=,=,=,br,i:,tS,REG.
4102,=,=,=,=,=,=,br,eI,k,IRREG-eI-@U.
67,=,=,=,br,E,k,f,@,st,REG.
67,=,=,=,br,E,st,f,i:,d,IRREG-i:-E.
791,=,=,=,=,=,=,br,i:,D,REG.
341,=,=,=,=,=,=,br,i:,d,IRREG-i:-E.
107,=,=,=,=,=,=,br,u:,=,REG.
93,=,=,=,=,=,=,br,aI,b,REG.
63,=,=,=,=,=,=,br,I,dZ,REG.
21,=,=,=,br,aI,=,dl#,=,=,REG.
85,=,=,=,=,=,=,br,i:,f,REG.
87,=,=,=,br,aI,=,tn#,=,=,REG.
49,=,=,=,=,=,=,br,I,m,REG.
9176,=,=,=,=,=,=,br,I,N,IRREG-OTHER.
91,=,=,=,br,I,=,sl#,=,=,REG.
43,=,=,=,=,=,=,br,@U,tS,REG.
100,=,=,=,br,O:,d,k,A:,st,IRREG-CONV.
100,=,=,=,br,O:,d,k,A:,st,REG.
109,=,=,=,br,O:,=,dn#,=,=,REG.
15,=,=,=,=,=,=,br,OI,l,REG.
20,=,=,=,=,=,=,br,O,nz,REG.
181,=,=,=,=,=,=,br,u:,d,REG.
18,=,=,=,=,=,=,br,U,k,REG.
61,=,=,=,=,=,=,br,aU,n,REG.
54,=,=,=,=,=,=,br,aU,z,REG.
152,=,=,=,=,=,=,br,u:,z,REG.
425,=,=,=,=,=,=,br,V,S,REG.
14,br,u:,=,t,@,=,l,aI,z,REG.
121,=,=,=,b,V,=,bl#,=,=,REG.
59,=,=,=,=,=,=,b,V,k,REG.
75,=,=,=,b,V,=,kl#,=,=,REG.
17,=,=,=,=,=,=,b,V,d,REG.
47,=,=,=,=,=,=,b,V,dZ,REG.
31,=,=,=,b,V,=,dZ,I,t,REG.
26,=,=,=,b,V,=,f,I,t,REG.
112,=,=,=,=,=,=,b,V,g,REG.
61,=,=,=,b,V,=,g,@,r*,REG.
4336,=,=,=,=,=,=,b,I,ld,IRREG-d-t.
201,=,=,=,=,=,=,b,V,ldZ,REG.
25,=,=,=,b,U,l,d,@U,z,REG.
157,=,=,=,b,U,=,l,I,=,REG.
16,=,=,=,=,=,=,b,V,m,REG.
36,=,=,=,b,V,m,bl#,=,=,REG.
192,=,=,=,=,=,=,b,V,mp,REG.
59,=,=,=,=,=,=,b,V,ntS,REG.
83,=,=,=,b,V,n,dl#,=,=,REG.
11,=,=,=,=,=,=,b,V,N,REG.
21,=,=,=,b,V,N,gl#,=,=,REG.
12,=,=,=,=,=,=,b,OI,=,REG.
15,=,=,=,b,3:,=,bl#,=,=,REG.
56,=,=,=,b,3:,=,dn#,=,=,REG.
45,=,=,=,b,3:,=,dZ,@,n,REG.
17,=,=,=,b,3:,=,gl#,=,=,REG.
88,=,=,=,=,=,=,b,3:,k,REG.
1577,=,=,=,=,=,=,b,3:,n,REG.
1577,=,=,=,=,=,=,b,3:,n,IRREG-@+t.
21,=,=,=,b,3:,=,n,I,S,REG.
12,=,=,=,=,=,=,b,3:,p,REG.
56,=,=,=,b,V,=,r,@U,=,REG.
682,=,=,=,=,=,=,b,3:,st,IRREG-CONV.
898,=,=,=,b,E,=,r,I,=,REG.
21,=,=,=,=,=,=,b,V,s,REG.
56,=,=,=,=,=,=,b,V,st,IRREG-CONV.
56,=,=,=,=,=,=,b,V,st,REG.
102,=,=,=,b,V,=,sl#,=,=,REG.
56,=,=,=,b,I,=,z,I,=,REG.
49,=,=,=,b,U,=,tS,@,r*,REG.
44,=,=,=,=,=,=,b,V,t,REG.
47,=,=,=,b,V,=,t,@,r*,REG.
126,=,=,=,b,V,=,tn#,=,=,REG.
30,=,=,=,b,V,=,tr,I,s,REG.
4594,=,=,=,=,=,=,b,aI,=,IRREG-OTHER.
135,=,=,=,=,=,=,b,V,z,REG.
99,=,=,=,b,aI,=,p,A:,s,REG.
56,=,=,=,k,eI,=,bl#,=,=,REG.
29,=,=,=,k,&,=,kl#,=,=,REG.
11,=,=,=,=,=,=,k,&,dZ,REG.
35,=,=,=,=,=,=,k,eI,dZ,REG.
46,=,=,=,k,@,=,dZ,@U,l,REG.
41,=,=,=,=,=,=,k,eI,k,REG.
542,k,&,l,kj,U,=,l,eI,t,REG.
12429,=,=,=,=,=,=,k,O:,l,REG.
228,=,=,=,=,=,=,k,A:,m,REG.
13,=,=,=,=,=,=,k,A:,v,REG.
66,k,&,=,m,@,=,fl,A:,Z,REG.
291,=,=,=,=,=,=,k,&,mp,REG.
228,=,=,=,k,&,m,p,eI,n,REG.
98,=,=,=,=,=,=,k,&,n,REG.
70930,=,=,=,=,=,=,k,&,n,IRREG-OTHER.
290,=,=,=,k,&,n,sl#,=,=,REG.
27,=,=,=,=,=,=,k,eI,n,REG.
11,k,&,=,n,@,=,n,aI,z,REG.
23,=,=,=,=,=,=,k,&,nt,REG.
22,=,=,=,k,&,n,t,@,r*,REG.
54,=,=,=,k,&,n,v,@,s,REG.
62,=,=,=,=,=,=,k,&,p,REG.
11,p,&,=,r,I,=,sn#,=,=,REG.
23,=,=,=,k,eI,=,p,@,r*,REG.
60,p,I,=,t,@,=,l,aI,z,REG.
32,p,I,=,tS,U,=,l,eI,t,REG.
18,=,=,=,k,&,p,s,aI,z,REG.
19,=,=,=,k,&,p,t,I,n,REG.
16,k,&,p,t,I,=,v,eI,t,REG.
460,=,=,=,k,&,p,tS,@,r*,REG.
2175,=,=,=,=,=,=,k,E@,r*,REG.
18,=,=,=,k,@,=,r,i:,n,REG.
16,=,=,=,k,@,=,r,I@,r*,REG.
115,=,=,=,k,@,=,r,E,s,REG.
28,r,I,=,k,@,=,tj,U@,r*,REG.
10,=,=,=,k,@,=,r,aU,z,REG.
13,=,=,=,=,=,=,k,A:,p,REG.
41,=,=,=,k,A:,=,p,I,t,REG.
5582,=,=,=,k,&,=,r,I,=,REG.
52,=,=,=,=,=,=,k,A:,t,REG.
350,=,=,=,=,=,=,k,A:,v,REG.
29,=,=,=,k,&,=,sk,eI,d,REG.
11,=,=,=,=,=,=,k,eI,s,REG.
121,=,=,=,=,=,=,k,&,S,REG.
737,=,=,=,=,=,=,k,A:,st,IRREG-CONV.
16,k,&,=,st,I,=,g,eI,t,REG.
56,=,=,=,k,&,=,str,eI,t,REG.
40,k,&,=,t,@,=,l,O,g,REG.
3459,=,=,=,=,=,=,k,&,tS,IRREG-OTHER.
36,t,@,=,g,@,=,r,aI,z,REG.
249,=,=,=,k,eI,=,t,@,r*,REG.
